created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-04T19:16:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:17:54-04:00,25.4753,48.9647,397.5,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:17:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:18:54-04:00,25.4326,48.9113,397.5,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.31
2025-06-04T19:18:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:19:54-04:00,25.462,49.0211,397.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.34
2025-06-04T19:19:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:20:54-04:00,25.4887,48.9296,397.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.37
2025-06-04T19:20:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:21:54-04:00,25.4753,48.9281,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:21:55-04:00,,,396.9,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:21:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:22:54-04:00,25.462,48.9876,396.6,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.34
2025-06-04T19:22:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:23:54-04:00,25.4459,48.9845,396.9,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.33
2025-06-04T19:23:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:24:54-04:00,25.4459,49.0333,396.45,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.33
2025-06-04T19:24:58-04:00,,,,,-78,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:25:54-04:00,25.4753,48.9754,396.3,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:25:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:26:54-04:00,25.4887,48.9525,396.3,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.37
2025-06-04T19:26:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:27:54-04:00,25.502,49.0028,396.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.39
2025-06-04T19:27:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
