created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T18:09:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:10:34-04:00,22.5273,56.0571,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:10:36-04:00,,,,-57,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:11:35-04:00,22.5566,56.1975,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:11:37-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:12:35-04:00,22.5566,56.0159,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:12:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:13:34-04:00,22.5834,56.0754,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:13:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:14:35-04:00,22.5967,55.9777,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:14:37-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:15:35-04:00,22.5967,55.9777,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:15:36-04:00,,,,-57,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:16:34-04:00,22.5967,55.9777,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:16:36-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:17:35-04:00,22.6261,55.938,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:17:37-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:18:35-04:00,22.6394,56.0189,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:18:37-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:19:34-04:00,22.6394,55.9182,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:19:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:20:35-04:00,22.6528,56.0006,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:20:37-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:21:36-04:00,22.6528,56.0784,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:21:38-04:00,,,,-57,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:22:35-04:00,22.6528,56.1334,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:22:37-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:23:36-04:00,22.6688,56.0342,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:23:38-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
