created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-05-28T10:14:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:14:38-04:00,,55.4482,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:14:37-04:00,20.7569,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:09:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:09:37-04:00,20.7275,55.4208,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.31
2025-05-28T10:04:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:04:38-04:00,,55.3918,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:04:37-04:00,20.7408,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:59:45-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:59:37-04:00,20.7408,55.3475,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.32
2025-05-28T09:54:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:54:38-04:00,,55.3063,0.45,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:54:37-04:00,20.7408,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:49:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:49:37-04:00,20.7569,55.3094,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.33
2025-05-28T09:44:45-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:44:38-04:00,,55.2682,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
