created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-02T12:25:27-04:00,24.1669,32.6314,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.49
2025-06-02T12:25:28-04:00,,,344.1,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:25:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:26:27-04:00,24.1802,32.6177,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.51
2025-06-02T12:26:28-04:00,,,346.2,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:26:32-04:00,,,,,-39,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:27:27-04:00,24.1936,32.4147,337.95,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.52
2025-06-02T12:27:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:28:27-04:00,24.1241,32.4346,346.35,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.44
2025-06-02T12:28:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:29:27-04:00,24.1241,32.3934,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.44
2025-06-02T12:29:28-04:00,,,345.75,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:29:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:30:27-04:00,24.1375,32.4102,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.46
2025-06-02T12:30:28-04:00,,,345.15,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:30:31-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:31:27-04:00,24.1108,32.3644,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.42
2025-06-02T12:31:28-04:00,,,348,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:31:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:32:27-04:00,24.1241,32.3796,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.44
2025-06-02T12:32:28-04:00,,,347.25,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:32:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:33:27-04:00,24.0814,32.3476,346.65,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.39
2025-06-02T12:33:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:34:27-04:00,24.0948,32.4056,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.41
2025-06-02T12:34:28-04:00,,,346.35,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:34:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:35:27-04:00,24.0547,32.3598,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.36
2025-06-02T12:35:28-04:00,,,347.25,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:35:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
