created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-02T12:19:54-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:20:52-04:00,23.1334,34.3847,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:20:54-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:21:51-04:00,23.1174,34.3557,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:21:53-04:00,,,,-40,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:22:52-04:00,23.1601,34.255,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:22:54-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:23:52-04:00,23.1468,34.4106,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:23:54-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:24:51-04:00,23.1735,34.2657,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:24:53-04:00,,,,-45,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:25:52-04:00,23.1735,34.1878,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:25:54-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:26:53-04:00,23.1334,34.1588,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:26:55-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:27:52-04:00,23.1468,34.1192,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:27:54-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:28:53-04:00,23.1601,33.9757,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:28:55-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:29:54-04:00,23.1601,34.0673,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:29:56-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:30:53-04:00,23.1334,34.0124,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:30:55-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:31:54-04:00,23.1601,33.8308,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:31:56-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:32:55-04:00,23.1468,33.8155,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:32:57-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:33:54-04:00,23.1601,33.9086,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:33:56-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:34:55-04:00,23.1041,33.8903,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:34:57-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:35:56-04:00,23.1041,33.785,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:35:58-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:36:55-04:00,23.1174,33.9071,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:36:57-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:37:56-04:00,23.1041,33.8659,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:37:58-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:38:57-04:00,23.0907,33.6782,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:38:59-04:00,,,,-40,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:39:57-04:00,23.0774,33.7301,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:39:58-04:00,,,,-67,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:40:57-04:00,23.0774,33.7438,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:40:59-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:41:58-04:00,23.0774,33.8079,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:42:00-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:42:58-04:00,23.0774,33.8216,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:42:59-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:43:57-04:00,23.1174,34.0642,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:43:59-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:44:58-04:00,23.1334,34.1054,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:45:00-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:45:58-04:00,23.1601,33.9757,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:45:59-04:00,,,,-39,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:46:57-04:00,23.1735,33.9635,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:46:59-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:47:58-04:00,23.1895,33.8582,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:48:00-04:00,,,,-57,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:48:59-04:00,23.1601,33.8064,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:49:01-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:49:58-04:00,23.1735,33.8567,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:50:00-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:50:59-04:00,23.1041,33.7987,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:51:01-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:52:00-04:00,23.1041,33.9178,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:52:02-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:53:00-04:00,23.0907,34.0505,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:53:01-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:54:00-04:00,23.0907,34.0902,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:54:02-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:55:01-04:00,23.0613,34.1268,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:55:03-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:56:01-04:00,23.0613,34.1375,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:56:02-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
