timestamp,raspi_Temperature (°C),raspi_Humidity (%),raspi_Pressure (hPa),raspi_Gas Resistance (Ω),raspi_Violet (450nm),raspi_Blue (500nm),raspi_Green (550nm),raspi_Yellow (570nm),raspi_Orange (600nm),raspi_Red (650nm),raspi_Ambient Light (lux)
2025-06-02 00:00:00+00:00,30.28,20.12,1013.66,102400000,4.69,7.7,12.5,13.37,16.97,10.81,423.63
2025-06-02 00:00:00+00:00,30.14,20.12,1013.66,102400000,4.69,6.42,12.5,13.37,15.97,10.81,423.09
2025-06-02 00:00:00+00:00,30.05,20.11,1013.62,102400000,4.69,7.7,13.64,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,29.91,20.23,1013.63,102400000,5.87,7.7,13.64,14.33,17.96,11.71,409.65
2025-06-02 00:00:00+00:00,29.82,20.29,1013.62,102400000,5.87,7.7,13.64,14.33,17.96,11.71,408.58
2025-06-02 00:00:00+00:00,29.76,20.36,1013.62,102400000,5.87,7.7,12.5,14.33,16.97,11.71,415.03
2025-06-02 00:00:00+00:00,29.69,20.35,1013.6,102400000,4.69,7.7,12.5,14.33,17.96,11.71,414.49
2025-06-02 00:00:00+00:00,29.7,20.22,1013.61,102400000,4.69,6.42,12.5,13.37,15.97,10.81,410.19
2025-06-02 00:00:00+00:00,29.76,19.91,1013.58,102400000,4.69,6.42,11.37,12.42,14.97,9.91,409.11
2025-06-02 00:00:00+00:00,29.71,20.05,1013.59,102400000,4.69,6.42,11.37,13.37,15.97,10.81,409.65
2025-06-02 00:00:00+00:00,29.62,20.53,1013.55,102400000,4.69,6.42,11.37,12.42,15.97,9.91,409.65
2025-06-02 00:00:00+00:00,29.56,20.42,1013.59,102400000,4.69,6.42,11.37,13.37,15.97,9.91,414.49
2025-06-02 00:00:00+00:00,29.49,20.55,1013.58,102400000,4.69,6.42,11.37,11.46,14.97,9.91,412.34
2025-06-02 00:00:00+00:00,29.41,20.7,1013.6,102400000,4.69,6.42,11.37,12.42,15.97,9.91,409.11
2025-06-02 00:00:00+00:00,29.33,20.84,1013.57,102400000,4.69,6.42,11.37,13.37,15.97,10.81,413.41
2025-06-02 00:00:00+00:00,29.25,20.9,1013.56,102400000,4.69,6.42,11.37,12.42,15.97,10.81,412.34
2025-06-02 00:00:00+00:00,29.17,21.04,1013.57,102400000,4.69,6.42,11.37,12.42,14.97,9.91,412.34
2025-06-02 00:00:00+00:00,29.11,20.98,1013.53,102400000,4.69,6.42,11.37,12.42,15.97,9.91,414.49
2025-06-02 00:00:00+00:00,29.07,20.97,1013.52,102400000,4.69,6.42,12.5,13.37,16.97,10.81,413.95
2025-06-02 00:00:00+00:00,29.03,21.0,1013.51,102400000,4.69,5.13,10.23,10.51,11.98,8.1,408.04
2025-06-02 00:00:00+00:00,28.98,21.07,1013.54,102400000,4.69,6.42,11.37,11.46,13.97,9.0,412.34
2025-06-02 00:00:00+00:00,28.94,21.12,1013.54,102400000,4.69,6.42,12.5,13.37,16.97,10.81,409.11
2025-06-02 00:00:00+00:00,28.9,21.13,1013.53,102400000,4.69,6.42,11.37,12.42,15.97,10.81,415.56
2025-06-02 00:00:00+00:00,28.88,21.08,1013.54,102400000,4.69,7.7,12.5,14.33,17.96,11.71,417.18
2025-06-02 00:00:00+00:00,28.85,21.05,1013.54,102400000,4.69,7.7,12.5,14.33,16.97,11.71,419.87
2025-06-02 00:00:00+00:00,28.82,21.07,1013.54,102400000,4.69,7.7,12.5,13.37,15.97,10.81,418.25
2025-06-02 00:00:00+00:00,28.8,21.05,1013.54,102400000,4.69,6.42,12.5,13.37,15.97,10.81,418.25
2025-06-02 00:00:00+00:00,28.77,21.05,1013.53,102400000,4.69,6.42,12.5,13.37,15.97,10.81,417.72
2025-06-02 00:00:00+00:00,28.75,21.02,1013.48,102400000,4.69,6.42,12.5,13.37,15.97,10.81,417.18
2025-06-02 00:00:00+00:00,28.83,20.76,1013.47,102400000,4.69,6.42,11.37,11.46,14.97,9.0,408.04
2025-06-02 00:00:00+00:00,28.85,20.75,1013.45,102400000,4.69,6.42,11.37,12.42,15.97,9.91,416.64
2025-06-02 00:00:00+00:00,28.85,20.84,1013.42,102400000,4.69,6.42,11.37,12.42,14.97,9.91,415.56
2025-06-02 00:00:00+00:00,28.84,20.87,1013.44,102400000,3.52,5.13,7.96,8.6,9.98,6.3,407.5
2025-06-02 00:00:00+00:00,28.83,20.88,1013.42,102400000,4.69,6.42,10.23,11.46,13.97,9.0,411.26
2025-06-02 00:00:00+00:00,28.81,20.9,1013.43,102400000,3.52,5.13,9.09,9.55,11.98,7.2,410.73
2025-06-02 00:00:00+00:00,28.77,20.94,1013.46,102400000,4.69,7.7,12.5,14.33,16.97,11.71,411.26
2025-06-02 00:00:00+00:00,28.73,20.95,1013.44,102400000,4.69,7.7,12.5,13.37,16.97,11.71,411.8
2025-06-02 00:00:00+00:00,28.7,20.92,1013.46,102400000,4.69,7.7,13.64,14.33,17.96,11.71,416.64
